date,year,month,day,weekday
2022/11/13,2022,11,13,6
2022/11/14,2022,11,14,0
2022/11/15,2022,11,15,1
2022/11/16,2022,11,16,2
2022/11/17,2022,11,17,3
2022/11/18,2022,11,18,4
2022/11/19,2022,11,19,5
2022/11/20,2022,11,20,6
2022/11/21,2022,11,21,0
2022/11/22,2022,11,22,1
2022/11/23,2022,11,23,2
2022/11/24,2022,11,24,3
2022/11/25,2022,11,25,4
2022/11/26,2022,11,26,5
2022/11/27,2022,11,27,6
2022/11/28,2022,11,28,0
2022/11/29,2022,11,29,1
2022/11/30,2022,11,30,2
2022/12/01,2022,12,1,3
2022/12/02,2022,12,2,4
2022/12/03,2022,12,3,5
2022/12/04,2022,12,4,6
2022/12/05,2022,12,5,0
2022/12/06,2022,12,6,1
2022/12/07,2022,12,7,2
2022/12/08,2022,12,8,3
2022/12/09,2022,12,9,4
2022/12/10,2022,12,10,5
2022/12/11,2022,12,11,6
2022/12/12,2022,12,12,0
2022/12/13,2022,12,13,1
2022/12/14,2022,12,14,2
2022/12/15,2022,12,15,3
2022/12/16,2022,12,16,4
2022/12/17,2022,12,17,5
2022/12/18,2022,12,18,6
2022/12/19,2022,12,19,0
2022/12/20,2022,12,20,1
2022/12/21,2022,12,21,2
2022/12/22,2022,12,22,3
2022/12/23,2022,12,23,4
2022/12/24,2022,12,24,5
2022/12/25,2022,12,25,6
2022/12/26,2022,12,26,0
2022/12/27,2022,12,27,1
2022/12/28,2022,12,28,2
2022/12/29,2022,12,29,3
2022/12/30,2022,12,30,4
2022/12/31,2022,12,31,5
2023/01/01,2023,1,1,6
2023/01/02,2023,1,2,0
2023/01/03,2023,1,3,1
2023/01/04,2023,1,4,2
2023/01/05,2023,1,5,3
2023/01/06,2023,1,6,4
2023/01/07,2023,1,7,5
2023/01/08,2023,1,8,6
2023/01/09,2023,1,9,0
2023/01/10,2023,1,10,1
2023/01/11,2023,1,11,2
2023/01/12,2023,1,12,3
2023/01/13,2023,1,13,4
2023/01/14,2023,1,14,5
2023/01/15,2023,1,15,6
2023/01/16,2023,1,16,0
2023/01/17,2023,1,17,1
2023/01/18,2023,1,18,2
2023/01/19,2023,1,19,3
2023/01/20,2023,1,20,4
2023/01/21,2023,1,21,5
2023/01/22,2023,1,22,6
2023/01/23,2023,1,23,0
2023/01/24,2023,1,24,1
2023/01/25,2023,1,25,2
2023/01/26,2023,1,26,3
2023/01/27,2023,1,27,4
2023/01/28,2023,1,28,5
2023/01/29,2023,1,29,6
2023/01/30,2023,1,30,0
2023/01/31,2023,1,31,1
2023/02/01,2023,2,1,2
2023/02/02,2023,2,2,3
2023/02/03,2023,2,3,4
2023/02/04,2023,2,4,5
2023/02/05,2023,2,5,6
2023/02/06,2023,2,6,0
2023/02/07,2023,2,7,1
2023/02/08,2023,2,8,2
2023/02/09,2023,2,9,3
2023/02/10,2023,2,10,4
2023/02/11,2023,2,11,5
2023/02/12,2023,2,12,6
2023/02/13,2023,2,13,0
2023/02/14,2023,2,14,1
2023/02/15,2023,2,15,2
2023/02/16,2023,2,16,3
2023/02/17,2023,2,17,4
2023/02/18,2023,2,18,5
2023/02/19,2023,2,19,6
2023/02/20,2023,2,20,0
2023/02/21,2023,2,21,1
2023/02/22,2023,2,22,2
2023/02/23,2023,2,23,3
2023/02/24,2023,2,24,4
2023/02/25,2023,2,25,5
2023/02/26,2023,2,26,6
2023/02/27,2023,2,27,0
2023/02/28,2023,2,28,1
2023/03/01,2023,3,1,2
